Stay Name,Stay Type,Country,City,Amenities,Price per Night (USD)
Majestic Motel,Vacation Tours and Travels,Canada,Toronto,"Parking, Room Service, Air Conditioning, 24hr Reception, WiFi, TV, Vehicle Rentals, Guided City Tours",112.72
Azure Hotels,Hotel,UK,Manchester,"24hr Reception, TV, Room Service, WiFi, Air Conditioning, Laundry Service",98.05
Majestic Resort,Business Trips and Meet Stays,Japan,Kyoto,"Room Service, WiFi, Air Conditioning, TV, 24hr Reception, Conference Room, Projector Facility",204.64
Imperial Retreat,Business Trips and Meet Stays,South Africa,Cape Town,"WiFi, Air Conditioning, TV, Parking, 24hr Reception, Room Service, Work Desk, Business Center",114.9
Azure Travels,Resort,Japan,Tokyo,"TV, WiFi, Air Conditioning, Room Service, Adventure Sports, Private Beach",392.13
Sapphire Motel,Hotel,Brazil,São Paulo,"24hr Reception, WiFi, Parking, TV, Air Conditioning, Mini Bar",163.72
Golden Retreat,Resort,India,Bangalore,"Parking, 24hr Reception, Air Conditioning, Room Service, Nature Walks",200.25
Sunset Lodge,Hotel,Brazil,São Paulo,"Parking, TV, Air Conditioning, Concierge",147.58
Palm Lodge,Business Trips and Meet Stays,France,Paris,"Room Service, 24hr Reception, Parking, Air Conditioning, WiFi, TV, Conference Room, Projector Facility",173.55
Royal Motel,Hotel,Canada,Montreal,"Parking, TV, Air Conditioning, Mini Bar",186.71
Paradise Tours,Business Trips and Meet Stays,Japan,Kyoto,"Parking, TV, 24hr Reception, Conference Room, Business Center",184.99
Amber Motel,Business Trips and Meet Stays,Australia,Melbourne,"24hr Reception, TV, Room Service, WiFi, Conference Room, Business Center",213.47
Paradise Lodge,Resort,Brazil,Rio de Janeiro,"24hr Reception, Room Service, Parking, Nature Walks",223.04
Amber Resort,Vacation Tours and Travels,Brazil,São Paulo,"Parking, Air Conditioning, TV, 24hr Reception, Room Service, WiFi, Guided City Tours, Vehicle Rentals",51.9
Royal Tours,Vacation Tours and Travels,USA,Miami,"WiFi, TV, 24hr Reception, Parking, Air Conditioning, Guided City Tours",93.83
Greenfield Resort,Business Trips and Meet Stays,Brazil,São Paulo,"24hr Reception, TV, WiFi, Conference Room, Projector Facility",131.25
Royal Travels,Business Trips and Meet Stays,India,Delhi,"WiFi, 24hr Reception, Air Conditioning, Room Service, Work Desk, Conference Room",212.11
Palm Resort,Hotel,UK,Birmingham,"24hr Reception, Parking, TV, Concierge, Laundry Service",89.05
Palm Retreat,Hotel,France,Marseille,"Air Conditioning, TV, Room Service, Concierge, Mini Bar",98.71
Moonlight Business Rooms,Business Trips and Meet Stays,Germany,Frankfurt,"24hr Reception, WiFi, TV, Parking, Air Conditioning, Business Center, Projector Facility",123.39
Royal Travels,Business Trips and Meet Stays,Australia,Melbourne,"Parking, WiFi, Room Service, 24hr Reception, TV, Conference Room",121.5
Golden Motel,Business Trips and Meet Stays,France,Lyon,"Room Service, WiFi, 24hr Reception, Parking, Air Conditioning, Business Center, Work Desk",202.09
Paradise Hotels,Vacation Tours and Travels,Germany,Frankfurt,"Air Conditioning, 24hr Reception, TV, Room Service, Parking, WiFi, Vehicle Rentals",44.58
Vikas Hotels,Vacation Tours and Travels,Canada,Vancouver,"WiFi, Parking, 24hr Reception, TV, Vehicle Rentals",43.24
Palm Motel,Vacation Tours and Travels,USA,Miami,"Room Service, Parking, 24hr Reception, TV, WiFi, Vehicle Rentals",59.5
Moonlight Suites,Business Trips and Meet Stays,Australia,Melbourne,"TV, WiFi, Room Service, Parking, Projector Facility, Business Center",173.26
Azure Business Rooms,Resort,Australia,Brisbane,"Room Service, Parking, 24hr Reception, TV, WiFi, Adventure Sports",110.22
Greenfield Tours,Business Trips and Meet Stays,Germany,Frankfurt,"Air Conditioning, TV, Room Service, Parking, WiFi, 24hr Reception, Projector Facility",176.0
Greenfield Tours,Hotel,South Africa,Durban,"Air Conditioning, 24hr Reception, WiFi, Room Service, TV, Laundry Service, Concierge",89.35
Moonlight Resort,Resort,Brazil,São Paulo,"TV, Room Service, 24hr Reception, Spa",286.9
Amber Motel,Resort,Canada,Toronto,"TV, 24hr Reception, Air Conditioning, WiFi, Room Service, Parking, Nature Walks, Adventure Sports",314.43
Vikas Tours,Resort,USA,New York,"Room Service, 24hr Reception, Parking, TV, Nature Walks, Adventure Sports",398.09
Sunset Retreat,Hotel,South Africa,Cape Town,"TV, Room Service, Air Conditioning, Mini Bar, Concierge",104.42
Heritage Lodge,Business Trips and Meet Stays,Japan,Kyoto,"Air Conditioning, WiFi, TV, 24hr Reception, Room Service, Business Center",158.07
Sunset Motel,Vacation Tours and Travels,South Africa,Cape Town,"24hr Reception, TV, Parking, Room Service, WiFi, Air Conditioning, Guided City Tours, Local Cuisine Sampling",84.8
Palm Lodge,Business Trips and Meet Stays,Canada,Toronto,"24hr Reception, Parking, Room Service, TV, Air Conditioning, WiFi, Work Desk",227.85
Urban Retreat,Vacation Tours and Travels,USA,New York,"Air Conditioning, Parking, Room Service, Vehicle Rentals, Guided City Tours",140.6
Oceanic Inn,Resort,Brazil,Rio de Janeiro,"Air Conditioning, 24hr Reception, Parking, TV, WiFi, Private Beach, Nature Walks",161.86
Golden Hotels,Vacation Tours and Travels,Germany,Munich,"WiFi, 24hr Reception, Air Conditioning, Parking, Guided City Tours",100.67
Cosmic Hotels,Resort,Canada,Toronto,"WiFi, Room Service, TV, Private Beach, Spa",223.3
Oceanic Retreat,Resort,Japan,Kyoto,"TV, Room Service, Parking, WiFi, Air Conditioning, Private Beach, Spa",382.41
Heritage Suites,Resort,India,Delhi,"24hr Reception, Room Service, WiFi, Air Conditioning, Parking, TV, Private Beach, Spa",175.36
Urban Lodge,Resort,Germany,Berlin,"Room Service, Parking, 24hr Reception, TV, Air Conditioning, Adventure Sports",389.14
Imperial Travels,Vacation Tours and Travels,Canada,Montreal,"Air Conditioning, TV, Room Service, Parking, Local Cuisine Sampling",80.88
Moonlight Lodge,Vacation Tours and Travels,USA,New York,"WiFi, 24hr Reception, Room Service, TV, Local Cuisine Sampling, Vehicle Rentals",113.81
Sunset Lodge,Hotel,Germany,Munich,"Air Conditioning, TV, WiFi, 24hr Reception, Room Service, Laundry Service, Concierge",74.87
Greenfield Tours,Vacation Tours and Travels,Brazil,Brasília,"TV, WiFi, Parking, 24hr Reception, Room Service, Air Conditioning, Guided City Tours",140.8
Skyline Travels,Business Trips and Meet Stays,USA,Los Angeles,"WiFi, TV, 24hr Reception, Room Service, Air Conditioning, Parking, Conference Room, Business Center",224.97
Paradise Travels,Hotel,Canada,Montreal,"24hr Reception, Air Conditioning, TV, Room Service, Parking, Concierge",132.71
Paradise Travels,Vacation Tours and Travels,South Africa,Durban,"Parking, Room Service, TV, WiFi, Air Conditioning, 24hr Reception, Local Cuisine Sampling, Guided City Tours",43.42
Tranquil Tours,Business Trips and Meet Stays,USA,New York,"TV, Room Service, Air Conditioning, Work Desk, Projector Facility",219.41
Cosmic Tours,Resort,UK,Manchester,"Air Conditioning, 24hr Reception, TV, Room Service, WiFi, Adventure Sports",115.21
Golden Suites,Vacation Tours and Travels,Germany,Munich,"Air Conditioning, Parking, TV, 24hr Reception, Room Service, WiFi, Local Cuisine Sampling",74.82
Moonlight Tours,Resort,Australia,Brisbane,"Parking, Room Service, Air Conditioning, TV, 24hr Reception, WiFi, Spa",164.51
Urban Retreat,Vacation Tours and Travels,USA,Los Angeles,"Air Conditioning, TV, Parking, Room Service, Guided City Tours, Vehicle Rentals",83.61
Golden Retreat,Hotel,India,Mumbai,"Room Service, Parking, TV, Air Conditioning, 24hr Reception, WiFi, Mini Bar",104.11
Golden Business Rooms,Business Trips and Meet Stays,France,Paris,"TV, 24hr Reception, Parking, Room Service, Air Conditioning, WiFi, Conference Room, Projector Facility",83.61
Tranquil Travels,Hotel,India,Delhi,"24hr Reception, Parking, Room Service, Air Conditioning, WiFi, Mini Bar, Concierge",78.91
Moonlight Tours,Business Trips and Meet Stays,Germany,Berlin,"Air Conditioning, WiFi, 24hr Reception, Room Service, Business Center, Projector Facility",183.32
Skyline Business Rooms,Vacation Tours and Travels,USA,Chicago,"TV, WiFi, Room Service, Parking, 24hr Reception, Local Cuisine Sampling",37.11
Royal Retreat,Business Trips and Meet Stays,Brazil,São Paulo,"WiFi, Parking, Room Service, TV, Business Center, Conference Room",114.57
Amber Suites,Hotel,South Africa,Johannesburg,"24hr Reception, Air Conditioning, Room Service, Mini Bar, Laundry Service",93.45
Amber Tours,Business Trips and Meet Stays,Canada,Toronto,"Room Service, TV, 24hr Reception, Parking, Air Conditioning, Work Desk, Business Center",93.64
Paradise Inn,Resort,Australia,Sydney,"WiFi, Parking, 24hr Reception, Room Service, Nature Walks",230.54
Paradise Hotels,Vacation Tours and Travels,India,Hyderabad,"TV, Room Service, 24hr Reception, Air Conditioning, Guided City Tours",57.93
Sunset Travels,Business Trips and Meet Stays,USA,Miami,"TV, Air Conditioning, Parking, Projector Facility",81.27
Heritage Lodge,Vacation Tours and Travels,France,Marseille,"TV, Room Service, Parking, Local Cuisine Sampling, Vehicle Rentals",129.98
Heritage Inn,Vacation Tours and Travels,Australia,Melbourne,"Air Conditioning, TV, Parking, Vehicle Rentals, Guided City Tours",112.78
Palm Tours,Business Trips and Meet Stays,Australia,Brisbane,"TV, 24hr Reception, WiFi, Room Service, Conference Room, Work Desk",228.78
Majestic Business Rooms,Resort,Japan,Kyoto,"Air Conditioning, 24hr Reception, TV, WiFi, Nature Walks",168.04
Vikas Resort,Business Trips and Meet Stays,France,Marseille,"Room Service, Parking, Air Conditioning, 24hr Reception, Conference Room, Business Center",117.53
Urban Retreat,Business Trips and Meet Stays,Canada,Montreal,"Parking, WiFi, Room Service, Air Conditioning, Projector Facility, Work Desk",89.33
Urban Motel,Resort,Germany,Frankfurt,"Room Service, Parking, Air Conditioning, Private Beach, Spa",356.41
Imperial Suites,Business Trips and Meet Stays,USA,Miami,"Room Service, Parking, 24hr Reception, Business Center, Work Desk",188.87
Paradise Business Rooms,Business Trips and Meet Stays,Canada,Toronto,"Room Service, Parking, Air Conditioning, 24hr Reception, WiFi, TV, Conference Room, Business Center",119.02
Golden Suites,Resort,Germany,Munich,"Parking, TV, Room Service, Air Conditioning, Private Beach, Spa",180.68
Heritage Business Rooms,Business Trips and Meet Stays,South Africa,Durban,"24hr Reception, WiFi, Parking, Room Service, TV, Air Conditioning, Projector Facility",147.68
Paradise Motel,Hotel,Japan,Tokyo,"Room Service, 24hr Reception, Parking, Air Conditioning, WiFi, TV, Laundry Service, Concierge",99.83
Azure Suites,Resort,Germany,Munich,"Air Conditioning, 24hr Reception, Parking, Room Service, TV, WiFi, Private Beach",223.77
Paradise Hotels,Business Trips and Meet Stays,France,Marseille,"TV, Parking, WiFi, Business Center",174.36
Oceanic Travels,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"TV, Room Service, Parking, WiFi, Conference Room",98.52
Royal Hotels,Resort,Brazil,Brasília,"WiFi, 24hr Reception, Parking, TV, Spa, Adventure Sports",249.3
Golden Tours,Business Trips and Meet Stays,India,Delhi,"WiFi, TV, Air Conditioning, 24hr Reception, Room Service, Parking, Business Center",169.25
Skyline Suites,Vacation Tours and Travels,UK,Birmingham,"Room Service, WiFi, TV, Air Conditioning, 24hr Reception, Vehicle Rentals",87.82
Skyline Tours,Business Trips and Meet Stays,Japan,Osaka,"Room Service, TV, 24hr Reception, Parking, Air Conditioning, WiFi, Conference Room",96.68
Palm Hotels,Hotel,Japan,Kyoto,"Parking, TV, 24hr Reception, Mini Bar, Laundry Service",121.22
Vikas Inn,Business Trips and Meet Stays,Australia,Melbourne,"Parking, Air Conditioning, TV, 24hr Reception, Work Desk, Business Center",148.11
Azure Travels,Business Trips and Meet Stays,Canada,Vancouver,"Air Conditioning, WiFi, Parking, Room Service, TV, 24hr Reception, Business Center, Projector Facility",240.09
Golden Lodge,Hotel,UK,Manchester,"Air Conditioning, Parking, TV, WiFi, 24hr Reception, Room Service, Laundry Service",126.06
Paradise Resort,Resort,USA,Chicago,"TV, Parking, WiFi, Air Conditioning, Room Service, Nature Walks",132.79
Oceanic Business Rooms,Hotel,Canada,Toronto,"Parking, WiFi, Air Conditioning, Room Service, 24hr Reception, TV, Mini Bar",84.15
Skyline Lodge,Hotel,Japan,Tokyo,"24hr Reception, TV, Air Conditioning, WiFi, Concierge, Mini Bar",151.05
Golden Retreat,Business Trips and Meet Stays,France,Lyon,"Air Conditioning, 24hr Reception, TV, Conference Room, Business Center",87.08
Skyline Business Rooms,Vacation Tours and Travels,Australia,Melbourne,"WiFi, Parking, TV, Room Service, Local Cuisine Sampling",93.57
Amber Business Rooms,Vacation Tours and Travels,Germany,Berlin,"24hr Reception, WiFi, Parking, Room Service, Air Conditioning, TV, Local Cuisine Sampling",73.88
Majestic Retreat,Vacation Tours and Travels,UK,London,"Room Service, WiFi, TV, Parking, 24hr Reception, Guided City Tours, Vehicle Rentals",94.87
Vikas Resort,Business Trips and Meet Stays,Australia,Melbourne,"Parking, WiFi, Air Conditioning, Work Desk, Conference Room",151.41
Tranquil Motel,Business Trips and Meet Stays,Australia,Brisbane,"Room Service, WiFi, TV, Parking, Air Conditioning, Projector Facility",124.51
Urban Motel,Vacation Tours and Travels,Japan,Osaka,"TV, Air Conditioning, WiFi, Room Service, 24hr Reception, Vehicle Rentals, Guided City Tours",92.76
Greenfield Travels,Vacation Tours and Travels,Australia,Brisbane,"Parking, WiFi, Air Conditioning, Vehicle Rentals",104.14
Imperial Hotels,Business Trips and Meet Stays,India,Mumbai,"Air Conditioning, 24hr Reception, TV, Conference Room",211.79
Skyline Inn,Business Trips and Meet Stays,Australia,Sydney,"WiFi, TV, Parking, 24hr Reception, Conference Room",94.64
Tranquil Suites,Vacation Tours and Travels,Germany,Frankfurt,"WiFi, Room Service, TV, Parking, Vehicle Rentals, Local Cuisine Sampling",132.41
Tranquil Suites,Resort,Australia,Brisbane,"Air Conditioning, 24hr Reception, TV, Nature Walks, Private Beach",294.58
Majestic Inn,Resort,India,Mumbai,"Parking, TV, Air Conditioning, Nature Walks, Adventure Sports",287.27
Sapphire Suites,Hotel,Australia,Brisbane,"Air Conditioning, Room Service, WiFi, TV, Laundry Service, Concierge",163.91
Royal Hotels,Vacation Tours and Travels,UK,Birmingham,"24hr Reception, TV, WiFi, Air Conditioning, Vehicle Rentals",93.18
Amber Lodge,Vacation Tours and Travels,Germany,Berlin,"TV, Room Service, 24hr Reception, Vehicle Rentals, Guided City Tours",52.04
Oceanic Lodge,Business Trips and Meet Stays,Japan,Tokyo,"TV, WiFi, Air Conditioning, 24hr Reception, Room Service, Parking, Work Desk",197.56
Skyline Travels,Business Trips and Meet Stays,Brazil,Brasília,"Room Service, Parking, 24hr Reception, TV, Air Conditioning, Projector Facility",196.83
Cosmic Suites,Hotel,France,Lyon,"TV, Room Service, WiFi, Air Conditioning, 24hr Reception, Parking, Mini Bar",137.34
Sunset Motel,Resort,Canada,Toronto,"24hr Reception, Room Service, Parking, Adventure Sports",232.94
Vikas Lodge,Business Trips and Meet Stays,Germany,Berlin,"Air Conditioning, TV, Room Service, Conference Room, Business Center",209.49
Paradise Inn,Business Trips and Meet Stays,UK,Manchester,"Parking, Room Service, WiFi, Conference Room, Projector Facility",196.15
Heritage Resort,Business Trips and Meet Stays,UK,London,"WiFi, Air Conditioning, Parking, 24hr Reception, Room Service, TV, Work Desk",81.1
Sunset Tours,Resort,India,Hyderabad,"24hr Reception, Parking, WiFi, Spa, Nature Walks",355.81
Urban Lodge,Vacation Tours and Travels,South Africa,Johannesburg,"TV, WiFi, 24hr Reception, Parking, Air Conditioning, Guided City Tours, Vehicle Rentals",37.95
Paradise Hotels,Business Trips and Meet Stays,Canada,Montreal,"Parking, WiFi, Room Service, Projector Facility",168.09
Imperial Resort,Resort,Japan,Kyoto,"Air Conditioning, Parking, 24hr Reception, TV, WiFi, Private Beach, Spa",135.24
Royal Inn,Business Trips and Meet Stays,Germany,Berlin,"WiFi, TV, Parking, Room Service, Air Conditioning, 24hr Reception, Projector Facility, Conference Room",228.14
Sapphire Business Rooms,Vacation Tours and Travels,USA,Los Angeles,"Parking, WiFi, 24hr Reception, Room Service, Local Cuisine Sampling, Guided City Tours",91.32
Tranquil Business Rooms,Resort,Australia,Brisbane,"Air Conditioning, Room Service, 24hr Reception, TV, WiFi, Parking, Nature Walks, Private Beach",379.37
Sapphire Motel,Vacation Tours and Travels,Brazil,Brasília,"Air Conditioning, 24hr Reception, Parking, TV, Room Service, Local Cuisine Sampling",87.43
Golden Motel,Hotel,Germany,Munich,"WiFi, Room Service, Parking, Air Conditioning, TV, 24hr Reception, Laundry Service",129.9
Heritage Lodge,Vacation Tours and Travels,Japan,Kyoto,"WiFi, Air Conditioning, TV, Local Cuisine Sampling, Vehicle Rentals",31.16
Greenfield Resort,Resort,Canada,Montreal,"Parking, WiFi, TV, Air Conditioning, Private Beach, Nature Walks",196.1
Paradise Business Rooms,Hotel,Canada,Montreal,"24hr Reception, Room Service, WiFi, TV, Air Conditioning, Laundry Service, Concierge",115.19
Azure Business Rooms,Hotel,Canada,Toronto,"Air Conditioning, TV, Parking, Mini Bar",80.39
Cosmic Travels,Hotel,Canada,Vancouver,"Parking, 24hr Reception, Room Service, WiFi, TV, Air Conditioning, Mini Bar",149.05
Oceanic Business Rooms,Vacation Tours and Travels,UK,London,"TV, WiFi, Air Conditioning, Vehicle Rentals, Local Cuisine Sampling",86.64
Vikas Suites,Resort,Canada,Vancouver,"WiFi, 24hr Reception, TV, Room Service, Air Conditioning, Parking, Private Beach",254.33
Oceanic Suites,Resort,Canada,Vancouver,"WiFi, Parking, Room Service, TV, Air Conditioning, 24hr Reception, Spa",384.58
Sunset Motel,Hotel,Brazil,Rio de Janeiro,"Parking, Air Conditioning, 24hr Reception, TV, Room Service, WiFi, Concierge, Mini Bar",188.61
Greenfield Suites,Resort,India,Delhi,"Air Conditioning, WiFi, 24hr Reception, Adventure Sports",235.01
Urban Hotels,Business Trips and Meet Stays,France,Paris,"TV, Room Service, WiFi, Parking, 24hr Reception, Air Conditioning, Work Desk, Projector Facility",223.19
Golden Inn,Resort,USA,New York,"TV, 24hr Reception, WiFi, Room Service, Parking, Air Conditioning, Private Beach, Spa",381.67
Palm Inn,Business Trips and Meet Stays,UK,Manchester,"TV, 24hr Reception, WiFi, Parking, Room Service, Conference Room, Work Desk",139.91
Majestic Business Rooms,Hotel,Brazil,Rio de Janeiro,"Parking, Room Service, TV, WiFi, Air Conditioning, Concierge",50.55
Moonlight Inn,Resort,France,Marseille,"Air Conditioning, WiFi, Parking, Spa",363.11
Amber Retreat,Resort,USA,Los Angeles,"Air Conditioning, TV, Parking, 24hr Reception, Private Beach, Nature Walks",382.85
Imperial Resort,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"TV, Room Service, 24hr Reception, WiFi, Work Desk",247.31
Imperial Travels,Vacation Tours and Travels,Germany,Berlin,"WiFi, TV, Room Service, 24hr Reception, Parking, Local Cuisine Sampling, Guided City Tours",101.38
Royal Lodge,Business Trips and Meet Stays,Germany,Munich,"24hr Reception, Room Service, Air Conditioning, WiFi, TV, Parking, Business Center",202.46
Royal Inn,Business Trips and Meet Stays,France,Lyon,"Air Conditioning, Parking, Room Service, WiFi, 24hr Reception, Conference Room",81.38
Tranquil Travels,Resort,France,Lyon,"Air Conditioning, 24hr Reception, Room Service, TV, Parking, Adventure Sports",362.09
Royal Tours,Business Trips and Meet Stays,UK,Manchester,"24hr Reception, Air Conditioning, WiFi, Parking, Room Service, Work Desk, Business Center",176.78
Amber Tours,Vacation Tours and Travels,South Africa,Johannesburg,"Room Service, Parking, Air Conditioning, Local Cuisine Sampling, Vehicle Rentals",106.09
Royal Resort,Business Trips and Meet Stays,India,Bangalore,"WiFi, Parking, 24hr Reception, Air Conditioning, TV, Room Service, Business Center, Conference Room",120.88
Golden Business Rooms,Business Trips and Meet Stays,India,Mumbai,"24hr Reception, Room Service, WiFi, Business Center",228.63
Paradise Inn,Hotel,Brazil,Rio de Janeiro,"Room Service, Parking, WiFi, TV, Mini Bar, Concierge",153.67
Greenfield Motel,Business Trips and Meet Stays,Brazil,São Paulo,"WiFi, TV, Room Service, Air Conditioning, Parking, Business Center",193.31
Heritage Resort,Hotel,India,Bangalore,"Parking, 24hr Reception, WiFi, Air Conditioning, Mini Bar, Laundry Service",195.92
Royal Motel,Business Trips and Meet Stays,Germany,Berlin,"TV, Air Conditioning, WiFi, Parking, Business Center",107.49
Sapphire Resort,Vacation Tours and Travels,India,Hyderabad,"Parking, WiFi, Room Service, 24hr Reception, TV, Vehicle Rentals",37.67
Cosmic Retreat,Resort,Canada,Vancouver,"TV, WiFi, Air Conditioning, Nature Walks, Private Beach",342.61
Cosmic Inn,Business Trips and Meet Stays,Brazil,São Paulo,"24hr Reception, Room Service, WiFi, TV, Business Center, Work Desk",171.89
Urban Lodge,Business Trips and Meet Stays,Canada,Montreal,"WiFi, Room Service, 24hr Reception, Parking, Air Conditioning, TV, Conference Room",171.38
Imperial Resort,Hotel,Japan,Tokyo,"Room Service, Parking, 24hr Reception, Mini Bar",135.85
Sunset Suites,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"TV, Parking, WiFi, Work Desk, Projector Facility",241.43
Imperial Lodge,Business Trips and Meet Stays,Japan,Kyoto,"WiFi, Air Conditioning, Parking, TV, Work Desk",93.42
Greenfield Hotels,Vacation Tours and Travels,France,Marseille,"Room Service, Parking, 24hr Reception, Air Conditioning, WiFi, Guided City Tours",58.27
Amber Suites,Vacation Tours and Travels,India,Mumbai,"Room Service, Air Conditioning, Parking, TV, Local Cuisine Sampling",97.7
Royal Resort,Hotel,Germany,Berlin,"Air Conditioning, TV, Parking, Room Service, WiFi, Mini Bar, Laundry Service",171.81
Cosmic Hotels,Resort,UK,London,"Room Service, Air Conditioning, WiFi, 24hr Reception, Parking, Private Beach",384.69
Paradise Suites,Business Trips and Meet Stays,Japan,Tokyo,"Parking, 24hr Reception, TV, Air Conditioning, WiFi, Room Service, Conference Room",211.01
Majestic Resort,Resort,Brazil,São Paulo,"24hr Reception, Air Conditioning, Room Service, Parking, Spa, Private Beach",203.35
Royal Hotels,Resort,Australia,Sydney,"Room Service, 24hr Reception, WiFi, Air Conditioning, TV, Nature Walks, Adventure Sports",232.93
Sapphire Hotels,Business Trips and Meet Stays,France,Marseille,"Air Conditioning, WiFi, Room Service, 24hr Reception, Parking, TV, Business Center, Projector Facility",182.52
Sapphire Motel,Resort,UK,London,"24hr Reception, WiFi, TV, Parking, Private Beach, Nature Walks",305.93
Cosmic Lodge,Resort,Germany,Munich,"TV, Parking, Room Service, WiFi, 24hr Reception, Air Conditioning, Private Beach, Adventure Sports",113.42
Oceanic Motel,Hotel,France,Marseille,"WiFi, TV, Room Service, Parking, 24hr Reception, Air Conditioning, Concierge",174.63
Royal Business Rooms,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"Parking, WiFi, Air Conditioning, Room Service, TV, 24hr Reception, Business Center",131.01
Palm Business Rooms,Hotel,South Africa,Cape Town,"Room Service, Air Conditioning, TV, WiFi, Parking, 24hr Reception, Concierge",129.32
Sunset Motel,Hotel,Brazil,Brasília,"Air Conditioning, WiFi, Room Service, Parking, TV, 24hr Reception, Concierge, Laundry Service",184.73
Vikas Retreat,Business Trips and Meet Stays,USA,Los Angeles,"TV, Room Service, 24hr Reception, Parking, Business Center, Work Desk",163.25
Heritage Lodge,Hotel,USA,Miami,"24hr Reception, WiFi, Air Conditioning, Parking, Room Service, TV, Mini Bar",121.46
Urban Motel,Vacation Tours and Travels,USA,Miami,"Parking, Room Service, 24hr Reception, WiFi, Vehicle Rentals",125.61
Urban Resort,Resort,Brazil,São Paulo,"24hr Reception, Parking, Air Conditioning, WiFi, Room Service, Nature Walks, Spa",260.61
Heritage Travels,Hotel,France,Marseille,"24hr Reception, Room Service, Parking, Air Conditioning, TV, Mini Bar, Concierge",176.24
Cosmic Business Rooms,Business Trips and Meet Stays,South Africa,Cape Town,"Room Service, Air Conditioning, 24hr Reception, TV, Parking, WiFi, Work Desk",142.51
Maple Business Rooms,Resort,India,Hyderabad,"Room Service, 24hr Reception, WiFi, TV, Parking, Air Conditioning, Adventure Sports, Spa",235.04
Amber Suites,Resort,Brazil,Rio de Janeiro,"Room Service, 24hr Reception, Parking, Air Conditioning, Nature Walks",360.63
Majestic Retreat,Vacation Tours and Travels,Japan,Osaka,"Room Service, TV, 24hr Reception, Parking, Air Conditioning, WiFi, Vehicle Rentals",47.05
Vikas Inn,Hotel,South Africa,Cape Town,"Parking, Air Conditioning, 24hr Reception, WiFi, Room Service, TV, Concierge",150.69
Sapphire Tours,Resort,Brazil,São Paulo,"TV, Room Service, Parking, Air Conditioning, WiFi, 24hr Reception, Private Beach",136.47
Greenfield Business Rooms,Hotel,Germany,Munich,"Room Service, Air Conditioning, Parking, 24hr Reception, WiFi, TV, Laundry Service, Concierge",99.3
Majestic Inn,Business Trips and Meet Stays,France,Marseille,"24hr Reception, TV, WiFi, Conference Room, Work Desk",225.52
Majestic Tours,Hotel,Canada,Vancouver,"WiFi, Air Conditioning, 24hr Reception, Concierge, Laundry Service",192.48
Imperial Tours,Business Trips and Meet Stays,Germany,Frankfurt,"Parking, TV, 24hr Reception, Room Service, Projector Facility, Work Desk",162.29
Amber Suites,Hotel,Japan,Kyoto,"24hr Reception, TV, Room Service, Concierge, Mini Bar",191.12
Oceanic Travels,Vacation Tours and Travels,South Africa,Cape Town,"Air Conditioning, 24hr Reception, TV, Parking, Room Service, Vehicle Rentals, Guided City Tours",95.04
Imperial Travels,Business Trips and Meet Stays,Brazil,São Paulo,"Parking, Room Service, TV, WiFi, Air Conditioning, Business Center, Work Desk",243.96
Urban Motel,Resort,Germany,Frankfurt,"24hr Reception, TV, WiFi, Adventure Sports",247.33
Greenfield Motel,Vacation Tours and Travels,South Africa,Durban,"Parking, WiFi, TV, 24hr Reception, Room Service, Air Conditioning, Vehicle Rentals",120.06
Greenfield Tours,Vacation Tours and Travels,Germany,Munich,"24hr Reception, Parking, TV, WiFi, Air Conditioning, Local Cuisine Sampling, Vehicle Rentals",117.54
Greenfield Retreat,Vacation Tours and Travels,France,Lyon,"Room Service, WiFi, Parking, 24hr Reception, TV, Air Conditioning, Guided City Tours",52.75
Urban Business Rooms,Resort,France,Lyon,"Air Conditioning, 24hr Reception, Parking, Room Service, Adventure Sports",304.09
Vikas Resort,Business Trips and Meet Stays,South Africa,Johannesburg,"Air Conditioning, Parking, Room Service, WiFi, Work Desk, Business Center",132.51
Royal Retreat,Business Trips and Meet Stays,Australia,Sydney,"Parking, Air Conditioning, 24hr Reception, TV, Projector Facility",191.2
Vikas Hotels,Business Trips and Meet Stays,Germany,Berlin,"24hr Reception, WiFi, Air Conditioning, Work Desk",230.52
Skyline Inn,Business Trips and Meet Stays,USA,Los Angeles,"24hr Reception, Parking, Room Service, Business Center",186.24
Sapphire Suites,Business Trips and Meet Stays,USA,Chicago,"Room Service, Parking, WiFi, TV, Air Conditioning, 24hr Reception, Projector Facility, Business Center",102.0
Amber Retreat,Resort,India,Delhi,"TV, Parking, WiFi, Air Conditioning, Nature Walks",176.14
Tranquil Tours,Vacation Tours and Travels,Brazil,Rio de Janeiro,"WiFi, Room Service, TV, 24hr Reception, Local Cuisine Sampling, Vehicle Rentals",144.3
Urban Resort,Vacation Tours and Travels,France,Marseille,"Parking, TV, Room Service, WiFi, Air Conditioning, 24hr Reception, Local Cuisine Sampling",46.45
Amber Inn,Vacation Tours and Travels,USA,New York,"TV, Air Conditioning, 24hr Reception, Parking, WiFi, Vehicle Rentals",65.2
Amber Resort,Hotel,Australia,Brisbane,"Parking, WiFi, Room Service, Air Conditioning, 24hr Reception, TV, Concierge",61.55
